City,Country,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Algiers,Algeria,598.3,81.4,72.7,55,58.4,41.9,8.5,4.5,8.2,28.3,58.8,89.6,91
Batna,Algeria,326.2,24.9,29.3,38,31.7,32,20.1,7.5,17.7,37.3,27.3,31.7,28.7
Biskra,Algeria,129.1,16,8.4,14.7,16.6,11.1,3.4,0.7,2.7,16.2,15.3,14.8,9.2
Skikda,Algeria,728.8,115.3,94,75.6,60.8,29.9,13.1,2.9,9.7,30.1,75,99.2,123
Tamanrasset,Algeria,58.4,1.3,0.9,4.2,0.9,2.9,7,8,17.8,6,8.3,0.5,0.6
Douala,Cameroon,"3,602.70",34.2,54.5,155.2,241.2,276.2,354.1,681.4,687.5,561.2,406.6,123.1,27.5
N'Djamena,Chad,510.3,0,0,0.3,10.3,25.8,51,143.8,174.4,84.3,20.3,0.1,0
Brazzaville,Congo,"1,394",160,137,167,191,118,8,3,4,34,139,261,172
Cairo,Egypt,24.8,4.8,4.1,5.7,1.1,0.4,0.1,0,0,0,0.4,3.7,4.5
Mbabane,Eswatini,"1,441.70",253.2,224.6,151.6,87.9,33.8,19.4,20.1,35.1,69.4,141.9,197.8,206.9
Cocobeach,Gabon,"3,126",215.8,218.1,274.7,290.7,346.7,68.3,14.5,36.7,248.7,680.7,456.5,274.6
Banjul,Gambia,839.2,0.7,0.9,0,0,2.5,44.7,174.8,303.6,244.1,66.4,1.3,0.2
Accra,Ghana,798.5,11.8,25.5,61.1,87.8,151.4,189.6,63,21,42.9,80,37.2,27.2
Conakry,Guinea,"3,784",1,1,3,22,137,396,1130,1104,617,295,70,8
Bissau,Guinea Bissau,"2,022.80",0.5,0.8,0.5,0.8,17.3,174.8,472.5,682.5,434.9,194.8,41.4,2
Abidjan,Ivory Coast,"1,847.60",16.3,48.9,106.7,141.3,293.5,561.8,205.7,36.8,80.5,137.7,143.3,75.1
Maseru,Lesotho,691,114,89,96,67,29,12,14,15,19,63,80,93
Monrovia,Liberia,"4,624",51,71,120,154,442,958,797,354,720,598,237,122
Niamey,Niger,540.8,0,0,3.9,5.7,34.7,68.8,154.3,170.8,92.2,9.7,0.7,0
Abeokuta,Nigeria,"1,246.30",5.3,24.9,70.5,117.9,164.6,189.4,192.1,103.3,203.4,146.1,23.7,5.2
Kaduna,Nigeria,"1,280",0.5,2,13,66,157,178,206,290,277,86,5,0
Kano,Nigeria,"1,149.20",0,0,0.3,14,70.1,160.4,306.9,400.4,175.2,21.8,0,0
Lagos,Nigeria,"1,506.60",13.2,40.6,84.3,146.3,202.4,315.5,243,121.7,160,125.1,39.7,14.8
Port Harcourt,Nigeria,"2,286.50",22.1,59.7,114.6,159.2,260.9,310.1,357.9,290.2,354,251.7,87.2,19
Yola,Nigeria,886.1,0.1,0.2,2.3,35.5,94.5,138.8,159.7,196.2,189.4,67.9,0.8,0.5
Dakar,Senegal,392.5,1.2,0.4,0.1,0,0,7,52.8,165.6,138.4,26.3,0.3,0.4
Kaolack,Senegal,630.6,0.9,0.6,0,0,1.7,36,117.9,238.5,190.5,43.6,0.9,0
Kolda,Senegal,"1,057.80",0.1,0.1,0,0.1,19,121.5,248.9,318.4,265.4,81.7,2.6,0
Ziguinchor,Senegal,"1,401.20",4.9,0.2,0,0,2.9,93.1,341.1,480.7,358.6,113.5,6.1,0.1
Freetown,Sierra Leone,"4,433",6,8,28,68,214,522,1190,1078,800,333,148,38
Cape Town,South Africa,492.8,9.4,9.6,12.5,40.1,61.1,92.3,84.8,72.4,44.3,28.4,25.3,12.8
Durban,South Africa,"1,019",134,113,120,73,59,38,39,62,73,98,108,102
Port Elizabeth,South Africa,591.5,33,39.3,46.2,48.5,46.9,51.7,51.4,72.1,47.3,56.2,56.6,42.2
Ceuta,Spain,849,122,145,90,57,21,3,1,3,37,82,127,161
Melilla,Spain,391,58,57,44,36,20,7,1,4,16,40,57,50
Dar es Salaam,Tanzania,"1,117.40",54.2,70.8,169.6,263.6,172.2,31.3,15.8,17.8,20.2,77.3,114.4,110.2
Lomé,Togo,830.3,13.3,16.4,67.3,97.3,148.8,180.5,74.4,30.1,72.3,101.9,20.4,7.6